Ref,Val,Package,PosX,PosY,Rot,Side
"Q1","STP110N8F6","TO-220-3_Horizontal_TabUp",67.540000,82.360000,180.000000,bottom
"Q2","STP110N8F6","TO-220-3_Horizontal_TabUp",55.990000,82.360000,180.000000,bottom
"Q3","STP110N8F6","TO-220-3_Horizontal_TabUp",44.440000,82.360000,180.000000,bottom
"Q4","STP110N8F6","TO-220-3_Horizontal_TabUp",32.890000,82.360000,180.000000,bottom
"Q5","STP110N8F6","TO-220-3_Horizontal_TabUp",21.340000,82.360000,180.000000,bottom
"Q6","STP110N8F6","TO-220-3_Horizontal_TabUp",9.790000,82.360000,180.000000,bottom
"A1","Arduino_Nano_v3.x","Arduino_Nano",27.800000,30.265000,90.000000,top
"C1","100uF 63V","CP_Elec_10x10.5",58.300000,20.705000,-90.000000,top
"C2","1000uF 16V","CP_Elec_10x10.5",23.300000,52.705000,180.000000,top
"C3","33nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.785000,4.600000,180.000000,top
"C4","1000uF 16V","CP_Elec_10x10.5",32.950000,19.555000,180.000000,top
"C5","680uF 100V","CP_Radial_D16.0mm_P7.50mm",13.212755,45.905000,180.000000,top
"C6","680uF 100V","CP_Radial_D16.0mm_P7.50mm",13.212755,29.305000,180.000000,top
"C7","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",64.900000,86.780000,-90.000000,top
"C8","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",41.700000,86.780000,-90.000000,top
"C9","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",18.700000,86.780000,-90.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.800000,90.630000,0.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.600000,90.630000,0.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.550000,90.630000,0.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.450000,59.680000,180.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.200000,59.680000,180.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",42.350000,59.630000,180.000000,top
"C16","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",54.150000,60.580000,-90.000000,top
"C17","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",31.100000,60.580000,-90.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",7.900000,60.580000,-90.000000,top
"C19","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.900000,26.500000,-90.000000,top
"C20","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.100000,26.500000,-90.000000,top
"C21","1nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",45.300000,26.500000,-90.000000,top
"D1","1N4148W","Nexperia_CFP3_SOD-123W",28.700000,26.705000,0.000000,top
"D2","1N4148W","Nexperia_CFP3_SOD-123W",27.850000,40.555000,-90.000000,top
"D3","SS16","D_SMA_Handsoldering",45.987500,20.320000,180.000000,top
"D4","SS510","ST_D_SMC",6.575000,17.705000,180.000000,top
"D5","SS510","ST_D_SMC",6.575000,11.130000,180.000000,top
"D6","1N4148W","Nexperia_CFP3_SOD-123W",59.250000,57.130000,0.000000,top
"D7","1N4148W","Nexperia_CFP3_SOD-123W",36.200000,57.130000,0.000000,top
"D8","1N4148W","Nexperia_CFP3_SOD-123W",13.000000,57.080000,0.000000,top
"D9","1N4148W","Nexperia_CFP3_SOD-123W",63.950000,71.880000,90.000000,top
"D10","1N4148W","Nexperia_CFP3_SOD-123W",52.325000,71.880000,90.000000,top
"D11","1N4148W","Nexperia_CFP3_SOD-123W",40.750000,71.880000,90.000000,top
"D12","1N4148W","Nexperia_CFP3_SOD-123W",29.225000,71.905000,90.000000,top
"D13","1N4148W","Nexperia_CFP3_SOD-123W",17.750000,71.905000,90.000000,top
"D14","1N4148W","Nexperia_CFP3_SOD-123W",6.000000,71.880000,90.000000,top
"D15","SS510","ST_D_SMC",64.200000,77.530000,180.000000,top
"D16","SS510","ST_D_SMC",54.200000,77.530000,180.000000,top
"D17","SS510","ST_D_SMC",41.100000,77.530000,180.000000,top
"D18","SS510","ST_D_SMC",31.100000,77.530000,180.000000,top
"D19","SS510","ST_D_SMC",18.000000,77.530000,180.000000,top
"D20","SS510","ST_D_SMC",8.000000,77.530000,180.000000,top
"F1","0.1A","Fuse_1206_3216Metric",33.400000,52.755000,180.000000,top
"F2","20A","FUSE_3522-2",14.705000,11.045000,-90.000000,top
"J1","Conn_01x02","AMASS_XT60-M_1x02_P7.20mm_Vertical",30.950000,6.805000,180.000000,top
"J2","Conn_01x05_Pin","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",67.475000,14.605000,90.000000,top
"J3","Conn_01x05_Pin","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",49.000000,51.055000,180.000000,top
"L1","100uH","L_10.4x10.4_H4.8",46.195000,12.075000,90.000000,top
"R1","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.500000,40.555000,90.000000,top
"R2","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",55.800000,40.555000,90.000000,top
"R3","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",53.335000,3.400000,180.000000,top
"R4","7K5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",48.760000,2.375000,0.000000,top
